abbr;potency;vial_id
Abrot;10M;10
Abrot;1M;10
Abrot;200C;10
Abrot;30C;10
Abrot;6C;10
Absin;Q;7
Absin;Q;8
Acet-ac;10M;10
Acet-ac;1M;10
Acet-ac;200C;10
Acet-ac;30C;10
Acet-ac;50M;10
Acet-ac;6C;10
Acon-f;1M;10
Acon-f;200C;10
Acon-f;30C;10
Acon-f;6C;10
Acon;10M;10
Acon;1M;10
Acon;200C;10
Acon;200C;2
Acon;200C;4
Acon;30C;1
Acon;30C;10
Acon;30C;2
Acon;30C;4
Acon;6C;10
Acon;LM01;10
Acon;LM02;10
Acon;LM03;10
Acon;LM04;10
Acon;LM05;10
Acon;LM06;10
Acon;LM07;10
Acon;LM08;10
Acon;LM09;10
Acon;LM10;10
Acon;LM11;10
Acon;LM12;10
Acon;LM13;10
Acon;LM14;10
Acon;LM15;10
Acon;MM;10
Act-sp;6X;10
ActHIB-V;30C;10
ActHIB-V;6C;10
Active element;combination;4
Active salt;combination;4
Adam;10M;10
Adam;1M;10
Adam;200C;10
Adam;30C;10
Adam;50M;10
Adon;10M;10
Adon;1M;10
Adon;200C;10
Adon;30C;10
Adon;6C;10
Adren-c;12C;10
Adren-c;1M;10
Adren-c;200C;10
Adren-c;30C;10
Adren-m;12C;10
Adren-m;1M;10
Adren-m;200C;10
Adren-m;30C;10
Adren;10M;10
Adren;12X;10
Adren;1M;10
Adren;200C;10
Adren;30C;10
Adren;6C;10
Adren;9X;10
Aen-D;30C;10
Aen-D;6C;10
Aesc-c;10M;10
Aesc-c;1M;10
Aesc-c;200C;10
Aesc-c;30C;10
Aesc;10M;10
Aesc;1M;10
Aesc;200C;10
Aesc;30C;10
Aesc;6C;10
Aeth;10M;10
Aeth;1M;10
Aeth;200C;10
Aeth;30C;10
Aeth;6C;10
Agar;10M;10
Agar;1M;10
Agar;200C;10
Agar;30C;10
Agar;6C;10
Agar;9X;10
Agar;LM01;10
Agar;LM02;10
Agar;LM03;10
Agar;LM04;10
Agar;LM05;10
Agar;LM06;10
Agar;LM07;10
Agar;LM08;10
Agar;LM09;10
Agar;LM10;10
Agar;LM11;10
Agar;LM12;10
Agar;LM13;10
Agar;LM14;10
Agar;LM15;10
Agn;1M;10
Agn;200C;10
Agn;30C;10
Agn;6C;10
Agn;LM01;10
Agn;LM02;10
Agn;LM03;10
Agn;LM04;10
Agn;LM05;10
Agn;LM06;10
Agn;LM07;10
Agn;LM08;10
Agn;LM09;10
Agn;LM10;10
Agra;1M;10
Agra;200C;10
Agra;30C;10
Agra;6C;10
Agrost;200C;10
Aid;1M;10
Aid;200C;10
Ail;1M;10
Ail;200C;10
Ail;30C;10
Ail;6C;10
Alf;1M;10
Alf;200C;10
Alf;30C;10
Alf;3X;10
Alf;6C;10
Alf;6X;10
Alf;Q;7
Alf;Q;8
All-c;1M;10
All-c;200C;10
All-c;30C;10
All-c;6C;10
Aloe-v;6X;10
Aloe;10M;10
Aloe;1M;10
Aloe;200C;10
Aloe;30C;10
Aloe;6C;10
Aloe;6X;10
Alum;10M;10
Alum;12X;10
Alum;1M;10
Alum;200C;10
Alum;30C;10
Alum;6C;10
Alum;LM01;10
Alum;LM02;10
Alum;LM03;10
Alum;LM04;10
Alum;LM05;10
Alum;LM06;10
Alum;LM07;10
Alum;LM08;10
Alum;LM09;10
Alum;LM10;10
Alum;LM11;10
Alum;LM12;10
Alum;LM13;10
Alum;LM14;10
Alum;LM15;10
Am-c;10M;10
Am-c;1M;10
Am-c;200C;10
Am-c;30C;10
Am-c;6C;10
Am-c;LM01;10
Am-c;LM02;10
Am-c;LM03;10
Am-c;LM04;10
Am-c;LM05;10
Am-c;LM06;10
Am-c;LM07;10
Am-c;LM08;10
Am-c;LM09;10
Am-c;LM10;10
Am-c;LM11;10
Am-c;LM12;10
Am-c;LM13;10
Am-c;LM14;10
Am-c;LM15;10
Am-m;10M;10
Am-m;12C;10
Am-m;1M;10
Am-m;200C;10
Am-m;30C;10
Am-m;6C;10
Am-m;LM01;10
Am-m;LM02;10
Am-m;LM03;10
Am-m;LM04;10
Am-m;LM05;10
Am-m;LM06;10
Am-m;LM07;10
Am-m;LM08;10
Am-m;LM09;10
Am-m;LM10;10
Am-m;LM11;10
Am-m;LM12;10
Am-m;LM13;10
Am-m;LM14;10
Am-m;LM15;10
Ambr;10M;10
Ambr;1M;10
Ambr;200C;10
Ambr;30C;10
Ambr;6C;10
Ambr;LM01;10
Ambr;LM02;10
Ambr;LM03;10
Ambr;LM04;10
Ambr;LM05;10
Ambr;LM06;10
Ambr;LM07;10
Ambr;LM08;10
Ambr;LM09;10
Ambr;LM10;10
Ambr;LM11;10
Ambr;LM12;10
Ambr;LM13;10
Ambr;LM14;10
Ambr;LM15;10
Ameth-E;10M;10
Ameth-E;1M;10
Ameth-E;200C;10
Ameth-E;30C;10
Ameth-E;50M;10
Ameth;10M;10
Ameth;1M;10
Ameth;200C;10
Ameth;30C;10
Ameth;6C;10
Ametr-E;10M;10
Ametr-E;12X;10
Ametr-E;1M;10
Ametr-E;200C;10
Ametr-E;30C;10
Ametr-E;6C;10
Ametr;10M;10
Ametr;12X;10
Ametr;1M;10
An-Drop-HD;30C;10
An-Drop-HD;6C;10
Ana-C-HD;30C;10
Ana-C-HD;50M;10
Anac;10M;10
Anac;1M;10
Anac;200C;10
Anac;200C;2
Anac;200C;4
Anac;30C;10
Anac;6C;10
Anac;LM01;10
Anac;LM02;10
Anac;LM03;10
Anac;LM04;10
Anac;LM05;10
Anac;LM06;10
Anac;LM07;10
Anac;LM08;10
Anac;LM09;10
Anac;LM10;10
Anac;LM11;10
Anac;LM12;10
Anac;LM13;10
Anac;LM14;10
Anac;LM15;10
Anaesthetic comb;30C;10
Anaesthetic comb;50M;10
Anag;3X;10
Ang;10M;10
Ang;1M;10
Ang;200C;10
Ang;30C;10
Ang;6C;10
Ang;LM01;10
Ang;LM02;10
Ang;LM03;10
Ang;LM04;10
Ang;LM05;10
Ang;LM06;10
Ang;LM07;10
Ang;LM08;10
Ang;LM09;10
Ang;LM10;10
Ang;LM11;10
Ang;LM12;10
Ang;LM13;10
Ang;LM14;10
Ang;LM15;10
Anh;10M;10
Anh;12C;10
Anh;1M;10
Anh;200C;10
Anh;30C;10
Ant-ar;1M;10
Ant-ar;200C;10
Ant-ar;30C;10
Ant-ar;6C;10
Ant-c;10M;10
Ant-c;1M;10
Ant-c;200C;10
Ant-c;200C;2
Ant-c;200C;4
Ant-c;30C;10
Ant-c;6C;10
Ant-c;CM;10
Ant-c;LM01;10
Ant-c;LM02;10
Ant-c;LM03;10
Ant-c;LM04;10
Ant-c;LM05;10
Ant-c;LM06;10
Ant-c;LM07;10
Ant-c;LM08;10
Ant-c;LM09;10
Ant-c;LM10;10
Ant-c;LM11;10
Ant-c;LM12;10
Ant-c;LM13;10
Ant-c;LM14;10
Ant-c;LM15;10
Ant-o;30C;10
Ant-o;6C;10
Ant-pit;10M;10
Ant-pit;12C;10
Ant-pit;1M;10
Ant-pit;200C;10
Ant-pit;30C;10
Ant-t;10M;10
Ant-t;1M;10
Ant-t;200C;10
Ant-t;30C;10
Ant-t;30C;2
Ant-t;30C;4
Ant-t;6C;10
Ant-t;CM;10
Ant-t;LM01;10
Ant-t;LM02;10
Ant-t;LM03;10
Ant-t;LM04;10
Ant-t;LM05;10
Ant-t;LM06;10
Ant-t;LM07;10
Ant-t;LM08;10
Ant-t;LM09;10
Ant-t;LM10;10
Anthr;10M;10
Anthr;1M;10
Anthr;200C;10
Anthr;30C;10
Anthr;9C;10
Antibiot-C-D;30C;10
Antican-C-D;30C;10
Antihis-Cel-D;30C;10
Antihis-Cel-D;6C;10
Antihis-Int-D;30C;10
Antihis-Int-D;6C;10
Antihis-Zad-D;30C;10
Antihis-Zad-D;6C;10
Anx-Alp-D;30C;10
Anx-Bromaz-D;30C;10
Anx-Etiz-D;30C;10
Anx-Loraz-D;30C;10
Apis+S+C;30C;1
Apis;10M;10
Apis;1M;10
Apis;200C;10
Apis;30C;10
Apis;30C;2
Apis;30C;4
Apis;6C;10
Apis;CM;10
Apis;LM01;10
Apis;LM02;10
Apis;LM03;10
Apis;LM04;10
Apis;LM05;10
Apis;LM06;10
Apis;LM07;10
Apis;LM08;10
Apis;LM09;10
Apis;LM10;10
Apis;LM11;10
Apis;LM12;10
Apis;LM13;10
Apis;LM14;10
Apoc;10M;10
Apoc;1M;10
Apoc;200C;10
Apoc;30C;10
Apoc;6C;10
Apoc;9X;10
Appl;10M;10
Appl;1M;10
Appl;200C;10
Appl;30C;10
Appl;6C;10
Aq-mar;10M;10
Aq-mar;1M;10
Aq-mar;200C;10
Aq-mar;30C;10
Aq-mar;9C;10
Aq-pur;10M;10
Aqua-p;10M;10
Aqua-p;1M;10
Aquam-E;10M;10
Aquam-E;1M;10
Aquam-E;200C;10
Aquam-E;30C;10
Aquam;10M;10
Aquam;1M;10
Aral;200C;10
Aral;30C;10
Aral;6X;10
Aral;Q;7
Aral;Q;8
Aran;10M;10
Aran;1M;10
Aran;200C;10
Aran;30C;10
Aran;6C;10
Arg-f;1M;10
Arg-f;200C;10
Arg-f;30C;10
Arg-f;6C;10
Arg-m;10M;10
